label	suggested	rule	category	left	right	stratum	mechanism	sim	evidence
	review	none	Country	Киргизька Республіка	Литовська Республіка	a	edit-similarity	0.75	
same	same	cross-script	Country	India	Індія	b	transliteration	0	
different	different	differing-digits	Device	MikroTik CCR 1016	MikroTik CCR 1036	a	edit-similarity	0.9412	
different	different	differing-digits	Device	Netgear WNR1000	Netgear WNR2000	a	edit-similarity	0.9333	
different	different	differing-digits	Device	Netgear R7000	Netgear R8000	a	edit-similarity	0.9231	
different	different	differing-digits	Device	MikroTik CCR 1016	MikroTik CCR 1072	a	edit-similarity	0.8824	
different	different	differing-digits	Device	MikroTik CCR 1036	MikroTik CCR 1072	a	edit-similarity	0.8824	
different	different	differing-digits	Device	Linksys E1200	Linksys E2500	a	edit-similarity	0.8462	
different	different	differing-digits	Device	Netgear R6400	Netgear R7000	a	edit-similarity	0.8462	
different	different	differing-digits	Device	Netgear R6400	Netgear R8000	a	edit-similarity	0.8462	
different	different	differing-digits	Device	Netgear R7000	Netgear WNR1000	a	edit-similarity	0.8	
different	different	differing-digits	Device	Netgear R7000	Netgear WNR2000	a	edit-similarity	0.8	
different	different	differing-digits	Device	Netgear R8000	Netgear WNR1000	a	edit-similarity	0.8	
different	different	differing-digits	Device	Netgear R8000	Netgear WNR2000	a	edit-similarity	0.8	
different	different	differing-digits	Device	Netgear DGN2200	Netgear WNR2000	a	edit-similarity	0.7333	
different	different	differing-digits	Device	Netgear R6400	Netgear WNR1000	a	edit-similarity	0.7333	
different	different	differing-digits	Device	Netgear R6400	Netgear WNR2000	a	edit-similarity	0.7333	
same	same	punctuation-only	Government Body	Держспецзв'язку	Держспецзв’язку	a	edit-similarity	1	
	review	none	Government Body	Департамент кіберполіції Національної поліції України	Департаменту кіберполіції Національної поліції України	a	edit-similarity	0.9815	
	review	none	Government Body	Адміністрація Держспецзв'язку	Адміністрації Держспецзв’язку	a	edit-similarity	0.931	
same	same	decorated-identifier	Government Body	Національний банк України	Національний банк України (НБУ)	a	edit-similarity	0.8571	
same	same	decorated-identifier	Government Body	Служба безпеки України	Служба безпеки України (СБУ)	a	edit-similarity	0.8571	
	review	none	Government Body	Національний банк України	Національного банку України	a	edit-similarity	0.8519	
	review	none	Government Body	Адміністрація Держспецзв'язку	Держспецзв'язку	a	edit-similarity	0.8	
	review	none	Government Body	Адміністрація Держспецзв'язку	Держспецзв’язку	a	edit-similarity	0.8	
	review	none	Government Body	Адміністрації Держспецзв’язку	Держспецзв'язку	a	edit-similarity	0.8	
	review	none	Government Body	Адміністрації Держспецзв’язку	Держспецзв’язку	a	edit-similarity	0.8	
	review	none	Government Body	ДЦКЗ Держспецзв'язку	Держспецзв'язку	a	edit-similarity	0.8	
	review	none	Government Body	ДЦКЗ Держспецзв'язку	Держспецзв’язку	a	edit-similarity	0.8	
	review	none	Government Body	Апарату Ради національної безпеки і оборони України	Рада національної безпеки та оборони України	a	edit-similarity	0.7843	
	review	none	Government Body	Державний центр кіберзахисту Держспецзв’язку	Державний центр кіберзахисту та протидії кіберзагрозам Держспецзв’язку	a	edit-similarity	0.7692	
	review	none	Government Body	Оперативний центр реагування на кіберінциденти Державного центру кіберзахисту Держспецзв’язку	Оперативний центр реагування на кіберінциденти та кібератаки (SOC) Державного центру кіберзахисту	a	edit-similarity	0.7619	
	review	none	Government Body	Національний банк України (CSIRT-NBU)	Національний банк України (НБУ)	a	edit-similarity	0.7568	
	review	none	Government Body	ДСНС України	МОН України	a	edit-similarity	0.75	
	review	none	Government Body	ДСНС України	СБ України	a	edit-similarity	0.75	
	review	none	Government Body	Державний центр кіберзахисту	Державний центр кіберзахисту Держспецзв’язку	a	edit-similarity	0.75	
	review	none	Government Body	Міністерство оборони Киргизької Республіки	Міністерство оборони Республіки Вірменія	a	edit-similarity	0.75	
	review	none	Government Body	Міністерство оборони України	Міністерство юстиції України	a	edit-similarity	0.75	
same	same	decorated-identifier	Government Body	Національний банк України	Національний банк України (CSIRT-NBU)	a	edit-similarity	0.75	
	review	none	Government Body	Міністерство енергетики України	Міністерство оборони України	a	edit-similarity	0.7419	
	review	none	Government Body	МОН України	СБ України	a	edit-similarity	0.7273	
	review	none	Government Body	Національний координаційний центр кібербезпеки	Національний координаційний центр кібербезпеки РНБО України (НКЦК)	a	edit-similarity	0.7273	
	review	none	Government Body	ДСНС України	ССО ЗС України	a	edit-similarity	0.7143	
	review	none	Government Body	Міністерство енергетики України	Міністерство юстиції України	a	edit-similarity	0.7097	
same	same	punctuation-only	HackerGroup	@CyberArmyofRussia_Reborn	CyberArmyofRussia_Reborn	a	edit-similarity	1	
different	different	differing-digits	HackerGroup	APT28 (UAC-0028)	UAC-0028 (APT28)	a	identifier	1	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0002	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0006	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0007	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0041	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0001	UAC-0101	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0001 (APT28)	UAC-0028 (APT28)	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0006	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0007	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0082	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0002	UAC-0102	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0007	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0026	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0056	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0006	UAC-0096	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0027	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0057	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0007	UAC-0097	a	edit-similarity	0.875	
different	different	differing-digits	HackerGroup	UAC-0010	UAC-0018	a	edit-similarity	0.875	
